序号,围岩裂隙裂隙发育程度,煤层强度,底板强度,顶板强度,埋深,毛宽,锚杆支护面积,锚索密度,顶板位移
1,0.0,12.3,96.4,110.7,488,5.4,1.21,1.82,33.0
2,1.0,11.88,30.2,49.56,359,5.0,0.81,1.11,95.0
3,0.0,14.34,38.99,44.23,530,5.0,0.6,1.88,88.0
4,0.0,18.0,60.0,66.73,460,4.5,1.44,0.83,45.0
5,0.0,15.0,67.07,61.2,630,5.5,1.0,1.0,69.0
6,0.0,8.6,31.9,43.06,500,4.5,1.2,0.67,13.0
7,1.0,14.0,25.4,54.32,415,5.2,0.81,3.33,7.8
8,0.0,8.5,64.0,57.12,380,2.6,0.72,1.25,52.0
9,1.0,13.8,28.9,40.46,470,3.2,0.64,1.88,46.0
10,1.0,20.0,35.0,59.24,452,4.0,0.64,2.5,97.62
11,1.0,14.0,33.5,46.19,289,4.2,0.81,3.75,5.8
12,1.0,10.2,14.9,33.87,816,4.6,0.6,5.33,25.86
13,0.0,11.03,23.2,24.39,260,3.9,1.2,1.0,30.0
14,1.0,9.0,15.3,37.08,474,5.2,0.81,3.33,6.5
15,0.0,10.1,29.24,37.05,200,5.8,1.32,1.25,226.1
16,1.0,16.0,36.77,54.62,549,4.5,0.53,2.67,416.0
17,0.0,15.0,35.0,44.34,670,4.6,1.0,1.5,50.0
18,1.0,18.5,28.0,32.62,400,6.0,0.9,0.74,92.0
19,1.0,9.0,16.8,38.06,321,4.7,0.64,2.5,4.2
20,1.0,14.0,25.4,54.32,415,5.2,0.72,3.33,7.8
21,0.0,12.15,23.47,55.16,270,4.0,1.21,0.91,16.8
22,1.0,14.98,43.61,55.21,310,3.2,0.49,0.95,30.0
23,1.0,11.03,80.0,77.7,480,5.0,0.64,5.0,75.0
24,1.0,13.2,23.7,51.69,400,5.2,0.64,5.0,10.3
25,1.0,14.0,33.5,46.19,289,4.2,0.81,2.22,5.7
26,1.0,14.0,29.1,45.65,484,5.0,0.64,2.5,6.2
27,1.0,8.2,12.7,24.25,278,4.8,0.72,3.33,7.2
28,1.0,14.0,25.4,54.32,415,5.2,0.9,3.0,7.8
29,1.0,10.0,31.5,51.8,250,5.5,1.0,1.0,80.0
30,0.0,7.2,52.39,32.31,205,4.7,0.9,2.0,68.0
31,1.0,9.6,33.99,34.5,420,3.6,1.0,0.33,93.0
32,1.0,15.94,39.53,57.21,310,3.0,0.53,0.48,125.0
33,1.0,15.0,17.52,112.29,180,5.0,0.9,2.0,95.0
34,1.0,9.0,13.5,40.24,358,5.2,0.72,3.33,11.6
35,0.0,3.42,43.28,49.19,410,5.0,1.0,1.0,32.0
36,1.0,18.0,50.0,47.23,310,2.7,0.49,1.43,66.0
37,0.0,8.0,30.2,57.05,660,4.5,0.64,1.88,65.0
38,0.0,15.5,35.24,59.32,450,5.5,1.2,1.0,39.0
39,1.0,13.89,45.0,63.28,400,4.0,0.81,1.67,93.0
40,1.0,9.0,44.1,40.02,358,5.0,0.63,2.22,5.0
41,1.0,9.0,15.3,37.08,474,4.7,0.8,2.0,6.3
42,1.0,15.0,50.0,59.27,403,5.4,0.49,1.43,38.0
43,1.0,9.0,36.6,67.08,300,5.5,0.72,1.25,28.47
44,1.0,10.65,38.86,52.63,200,3.3,0.72,1.25,90.89
45,1.0,11.49,51.34,65.86,421,4.4,1.1,2.73,144.0
46,1.0,10.0,53.99,57.5,790,5.0,0.49,2.14,26.1
47,0.0,12.89,41.16,55.44,387,3.5,0.49,1.43,42.0
48,1.0,14.13,50.0,55.04,450,3.6,0.6,2.67,120.0
49,0.0,9.38,21.4,75.64,550,4.0,0.9,1.5,179.0
50,1.0,14.3,35.8,62.09,285,4.8,1.1,2.5,10.4
51,1.0,9.8,20.3,16.61,500,5.5,0.9,3.33,80.0
52,1.0,11.03,66.9,65.71,348,2.8,0.64,1.88,92.0
53,1.0,12.58,39.68,56.66,100,3.2,0.6,0.83,59.0
54,0.0,11.5,31.5,31.04,400,4.2,0.81,1.11,70.0
