variable,fracture_degree,coal_strength,floor_strength,roof_strength,depth,width,bolt_area,anchor_density,roof_displacement
fracture_degree,1.0,-0.020836202396604712,-0.199842135611898,-0.13426063923632564,0.002906639154058742,-0.05620712678804675,-0.5062292332647631,0.40233422049484263,-0.19146936038510712
coal_strength,-0.020836202396604712,1.0,0.2833769756233639,0.14646483022011786,0.146897314304894,-0.0013511668285239998,-0.06079963833664089,-0.05855659351735299,0.10089815459509659
floor_strength,-0.199842135611898,0.2833769756233639,1.0,0.38545531000180633,0.048731373766329786,-0.2043999857491494,0.06449586958996517,-0.25259808084757757,0.16569323098862376
roof_strength,-0.13426063923632564,0.14646483022011786,0.38545531000180633,1.0,0.1539936300127708,0.08201606434992278,0.0972626652541045,-0.13578533745848617,0.2158433909069038
depth,0.002906639154058742,0.146897314304894,0.048731373766329786,0.1539936300127708,1.0,0.31921444438915403,-0.16724000649205123,0.1503707825443737,0.1455531623721327
width,-0.05620712678804675,-0.0013511668285239998,-0.2043999857491494,0.08201606434992278,0.31921444438915403,1.0,0.21383728574943955,0.11524051582379762,-0.15295432941435447
bolt_area,-0.5062292332647631,-0.06079963833664089,0.06449586958996517,0.0972626652541045,-0.16724000649205123,0.21383728574943955,1.0,-0.3306963237533558,-0.10329452138473792
anchor_density,0.40233422049484263,-0.05855659351735299,-0.25259808084757757,-0.13578533745848617,0.1503707825443737,0.11524051582379762,-0.3306963237533558,1.0,-0.25187936364668007
roof_displacement,-0.19146936038510712,0.10089815459509659,0.16569323098862376,0.2158433909069038,0.1455531623721327,-0.15295432941435447,-0.10329452138473792,-0.25187936364668007,1.0
