test_sample_index,case_rank,similar_case_index,similarity,distance,case_roof_displacement,case_fracture_degree,case_coal_strength,case_floor_strength,case_roof_strength,case_depth,case_width,case_bolt_area,case_anchor_density
12,1,147,1.0,0.0,95.0,0.0,15.0,17.52,90.0,180.0,5.0,0.9,2.0
12,2,34,0.373225,1.679348,62.0,0.0,6.89,24.31,88.68,300.0,5.2,0.81,1.11
12,3,24,0.299961,2.333763,23.0,0.0,7.2,26.32,68.39,400.0,5.0,0.9,1.0
12,4,18,0.298749,2.347295,32.0,0.0,11.03,26.7,78.73,440.0,5.0,1.21,1.82
12,5,165,0.293322,2.409221,95.0,1.0,15.0,17.52,112.29,180.0,5.0,0.9,2.0
13,1,96,0.380961,1.624941,39.0,0.0,15.5,35.24,59.32,450.0,5.5,1.2,1.0
13,2,58,0.358196,1.791767,13.0,0.0,8.6,31.9,43.06,500.0,4.5,1.2,0.67
13,3,105,0.348899,1.866158,32.0,0.0,11.03,26.7,77.99,440.0,5.0,1.32,0.83
13,4,18,0.337698,1.961224,32.0,0.0,11.03,26.7,78.73,440.0,5.0,1.21,1.82
13,5,42,0.324837,2.078471,13.0,0.0,8.6,31.9,47.2,500.0,4.5,1.1,0.67
14,1,40,0.452112,1.211839,23.0,0.0,15.0,65.0,52.75,450.0,5.6,1.0,1.0
14,2,13,0.432637,1.311405,23.0,0.0,15.0,65.0,50.0,450.0,5.6,1.0,0.67
14,3,93,0.393988,1.538148,14.0,0.0,11.03,80.0,68.99,480.0,5.0,1.1,1.0
14,4,57,0.328874,2.040679,39.0,0.0,15.5,36.7,64.54,450.0,5.5,1.1,1.0
14,5,96,0.30842,2.242331,39.0,0.0,15.5,35.24,59.32,450.0,5.5,1.2,1.0
15,1,121,0.803478,0.244589,57.0,0.0,17.0,57.0,68.93,460.0,4.5,1.44,0.83
15,2,96,0.317266,2.151934,39.0,0.0,15.5,35.24,59.32,450.0,5.5,1.2,1.0
15,3,93,0.311613,2.209111,14.0,0.0,11.03,80.0,68.99,480.0,5.0,1.1,1.0
15,4,105,0.305056,2.278085,32.0,0.0,11.03,26.7,77.99,440.0,5.0,1.32,0.83
15,5,145,0.30334,2.296632,92.0,0.0,15.5,47.4,64.72,400.0,3.5,1.1,1.82
