param,value
n_estimators,794.0
max_depth,5.0
learning_rate,0.10079216378456199
subsample,0.7907020940859858
colsample_bytree,0.6337048645614536
min_child_weight,10.0
gamma,2.299532993561175
reg_alpha,0.6397926187189551
reg_lambda,0.5149248281416766
