dataset,sample_count,min,max,mean,median,std,skew,kurt
dataset_full,200,2.5,454.0,75.08435000000001,55.3,78.04198494817231,2.2297172283324014,6.088416894840621
dataset_deduplicated,198,2.5,454.0,75.57661616161616,55.8,78.2540711784646,2.2190651425166137,6.023303475313945
dataset_winsorized,200,2.5,454.0,75.08435000000001,55.3,78.04198494817231,2.2297172283324014,6.088416894840621
dataset_modeling_176,176,2.7,179.0,58.140397727272735,52.0,42.80220526175585,0.5794964539461428,-0.47781272752260406
