model,Test_R2,Test_MAE,Test_RMSE,Test_SMAPE
DummyRegressor,-0.0002,36.8,44.39,71.51
Ridge,0.2287,30.16,38.98,62.84
ElasticNet,0.2171,30.48,39.28,63.35
SVR,0.3046,28.67,37.02,58.78
ANN,0.4705,23.25,32.3,49.87
RandomForest,0.743,18.36,22.5,42.22
GradientBoosting,0.7987,15.14,19.91,38.01
AdaBoost,0.6208,24.14,27.34,57.7
XGBoost,0.8512,13.24,17.12,38.12
LightGBM,0.7129,17.47,23.79,45.09
CatBoost,0.7733,17.81,21.13,46.18
