trial_number,cv_rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda
72,31.957916,772,5,0.085335,0.665997,0.645483,10,2.884293,2.381946,1.54829
73,33.735174,698,5,0.010329,0.766044,0.607719,9,2.404889,2.748315,2.401545
74,31.127539,661,5,0.0928,0.65787,0.625458,10,3.296434,0.65212,0.970803
75,31.388461,652,5,0.098312,0.657402,0.632502,9,3.231269,0.727121,0.87506
76,32.058705,613,5,0.110675,0.677374,0.670981,10,3.426333,1.082482,1.741235
77,31.660619,720,5,0.080509,0.65089,0.660733,10,3.061131,1.299183,2.86209
78,30.994305,536,5,0.091715,0.71443,0.647052,9,0.73061,0.208851,3.170396
79,31.560579,466,5,0.092232,0.715873,0.628668,10,0.707484,0.182125,4.828174
80,32.633489,537,5,0.103639,0.684264,0.972904,9,0.316093,0.458076,3.118515
81,31.822205,672,5,0.067907,0.702763,0.644884,9,1.065143,4.959631,2.269168
82,31.565334,564,5,0.075871,0.733865,0.62248,8,2.708596,0.292805,0.860587
83,31.272541,643,5,0.09139,0.751655,0.68014,9,2.199843,0.142216,3.717555
84,31.636684,510,5,0.1039,0.696563,0.653868,10,0.107006,0.788227,4.252344
85,31.648219,365,5,0.084256,0.713748,0.602469,9,0.759665,2.88734,1.834313
86,31.519021,706,5,0.11326,0.653089,0.637568,10,0.004429,0.000976,3.340706
87,31.187873,781,5,0.097514,0.664986,0.665823,8,1.70479,0.940105,2.585687
88,31.756543,792,5,0.097235,0.667096,0.690816,7,1.707416,0.531015,5.127911
89,32.761123,590,5,0.089354,0.620414,0.833349,7,1.987132,2.334341,1.564207
90,31.202764,734,5,0.107664,0.680385,0.673637,8,1.818769,1.510852,5.985207
91,31.257113,746,5,0.108634,0.645422,0.665356,8,1.40512,1.431734,7.718594
92,31.411774,780,5,0.11837,0.680432,0.67533,6,1.887732,1.657016,6.623965
93,34.095256,100,5,0.096868,0.661463,0.644974,8,1.634309,1.225562,9.229586
94,31.62492,764,5,0.104531,0.643245,0.707609,8,2.068184,2.043843,8.625233
95,31.860002,727,5,0.081653,0.69243,0.626048,10,2.305683,0.949496,1.263191
96,31.148709,843,5,0.113427,0.67736,0.696901,8,1.28846,0.683308,6.284097
97,31.242581,841,5,0.112539,0.673432,0.731748,9,1.268545,0.702082,2.655509
98,32.755227,821,5,0.100276,0.746683,0.767304,6,1.458334,0.326913,0.865211
99,31.756802,794,5,0.094296,0.795446,0.696731,7,0.884425,0.488421,2.069683
