variable,fracture_degree,coal_strength,floor_strength,roof_strength,depth,width,bolt_area,anchor_density,roof_displacement
fracture_degree,1.0,-0.09930549127566148,-0.22664130415105574,-0.14058465387793323,0.047897136746425185,-0.0329203926230321,-0.5243581036489966,0.32928062698293775,-0.1630427149769041
coal_strength,-0.09930549127566148,1.0,0.21577233394562048,-0.0837640225683011,0.05314179973876875,-0.01687451106849825,-0.02426912506000576,-0.09792784318230048,0.014368906195851214
floor_strength,-0.22664130415105574,0.21577233394562048,1.0,0.39918940210456794,0.04800391820714751,-0.13173082885642387,0.10440928984516903,-0.13119428657080748,0.0833718494331824
roof_strength,-0.14058465387793323,-0.0837640225683011,0.39918940210456794,1.0,0.07397979212630028,0.0644852939576788,0.11669207007634838,-0.12243589829701985,0.20909007589474907
depth,0.047897136746425185,0.05314179973876875,0.04800391820714751,0.07397979212630028,1.0,0.27359005210174303,-0.21769240466631853,0.22192355283758855,0.20490597913536285
width,-0.0329203926230321,-0.01687451106849825,-0.13173082885642387,0.0644852939576788,0.27359005210174303,1.0,0.1717005299561921,0.11158154889983093,-0.1681359725452574
bolt_area,-0.5243581036489966,-0.02426912506000576,0.10440928984516903,0.11669207007634838,-0.21769240466631853,0.1717005299561921,1.0,-0.3262438575253261,-0.10258187145898111
anchor_density,0.32928062698293775,-0.09792784318230048,-0.13119428657080748,-0.12243589829701985,0.22192355283758855,0.11158154889983093,-0.3262438575253261,1.0,-0.15429205455071016
roof_displacement,-0.1630427149769041,0.014368906195851214,0.0833718494331824,0.20909007589474907,0.20490597913536285,-0.1681359725452574,-0.10258187145898111,-0.15429205455071016,1.0
